stock-code,reference-price,celling-price,floor-price,price,volume,total-volume,total-value,highest-price,lowest-price,average-price
DDM,5.0,5.7,4.3,4.3,0.2,16.1,69430,4.9,4.3,4.3
DDN,17.3,19.8,14.8,17.4,0.1,14.6,249010,17.5,16.0,17.1
DDV,18.6,21.3,15.9,18.3,0.1,518.6,9487570,21.3,17.7,18.3
DFC,28.1,32.3,23.9,30.0,0.1,0.2,5810,30.0,28.1,29.0
DFF,25.3,29.0,21.6,25.4,0.1,12.3,313850,25.6,25.0,25.5
DGT,35.5,40.8,30.2,36.0,0.1,122.4,4411360,36.2,35.1,36.0
DHB,9.1,10.4,7.8,8.2,0.2,15.0,127740,9.2,8.1,8.5
DHD,24.1,27.7,20.5,24.0,5.0,5.0,120000,24.0,24.0,24.0
DHN,32.0,36.8,27.2,33.0,0.1,0.2,6600,33.0,33.0,33.0
DIC,6.3,7.2,5.4,6.1,2.0,1084.9,6913760,7.2,5.9,6.4
DID,10.6,12.1,9.1,11.9,1.0,71.3,829210,12.0,11.0,11.6
DKC,3.3,4.6,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DKH,21.0,29.4,12.6,0.0,0.0,0.0,0,0.0,0.0,0.0
DLD,28.1,32.3,23.9,0.0,0.0,0.0,0,0.0,0.0,0.0
DLR,12.3,14.1,10.5,13.0,0.1,2.4,30820,13.0,12.5,12.8
DLT,22.4,25.7,19.1,0.0,0.0,0.0,0,0.0,0.0,0.0
DM7,8.5,11.9,5.1,0.0,0.0,0.0,0,0.0,0.0,0.0
DMN,12.5,14.3,10.7,12.8,0.1,0.1,1280,12.8,12.8,12.8
DNA,23.5,27.0,20.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DNB,6.9,9.6,4.2,0.0,0.0,0.0,0,0.0,0.0,0.0
DND,26.5,30.4,22.6,0.0,0.0,0.0,0,0.0,0.0,0.0
DNE,12.5,14.3,10.7,0.0,0.0,0.0,0,0.0,0.0,0.0
DNH,40.0,46.0,34.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DNL,22.5,25.8,19.2,0.0,0.0,0.0,0,0.0,0.0,0.0
DNN,0.2,0.3,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0
DNT,20.0,23.0,17.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DNW,25.9,29.7,22.1,25.9,0.2,1.3,33670,25.9,25.9,25.9
DOC,10.2,11.7,8.7,0.0,0.0,0.0,0,0.0,0.0,0.0
DOP,13.1,15.0,11.2,13.0,0.5,1.5,19500,13.0,13.0,13.0
DP1,26.1,30.0,22.2,26.1,0.2,1.3,33990,26.2,26.1,26.1
DP2,7.6,8.7,6.5,7.1,0.1,1.1,7760,7.5,6.7,7.1
DPD,24.0,33.6,14.4,0.0,0.0,0.0,0,0.0,0.0,0.0
DPH,54.8,63.0,46.6,0.0,0.0,0.0,0,0.0,0.0,0.0
DPP,18.0,20.7,15.3,0.0,0.0,0.0,0,0.0,0.0,0.0
DPS,2.1,2.4,1.8,2.0,0.1,2413.3,4719310,2.2,1.8,2.0
DRG,14.7,16.9,12.5,16.0,0.7,18.5,291280,16.2,14.9,15.7
DRI,13.9,15.9,11.9,14.5,0.1,233.8,3387620,14.9,14.0,14.5
DSC,20.0,23.0,17.0,20.1,0.1,15.8,316010,20.1,20.0,20.0
DSG,7.2,8.2,6.2,7.8,1.3,2.2,16930,7.8,6.5,7.7
DSP,10.0,11.5,8.5,0.0,0.0,0.0,0,0.0,0.0,0.0
DSV,7.4,8.5,6.3,0.0,0.0,0.0,0,0.0,0.0,0.0
DT4,7.1,9.9,4.3,0.0,0.0,0.0,0,0.0,0.0,0.0
DTB,14.9,17.1,12.7,14.0,0.3,0.5,6870,14.0,12.7,13.7
DTE,22.5,25.8,19.2,22.6,5.7,118.8,2683200,22.8,22.3,22.6
DTG,18.2,20.9,15.5,18.2,0.2,1.3,23600,18.2,18.0,18.2
DTI,13.0,14.9,11.1,13.9,0.1,3.6,47240,13.9,13.1,13.1
DTP,75.2,86.4,64.0,71.0,0.3,3.8,271520,75.2,71.0,71.5
DTV,36.0,41.4,30.6,0.0,0.0,0.0,0,0.0,0.0,0.0
DUS,21.0,24.1,17.9,0.0,0.0,0.0,0,0.0,0.0,0.0
DVC,12.0,13.8,10.2,13.4,0.1,0.1,1340,13.4,13.4,13.4
DVN,21.7,24.9,18.5,22.0,0.2,155.1,3392980,22.4,21.6,21.9
DVW,14.2,19.8,8.6,0.0,0.0,0.0,0,0.0,0.0,0.0
DWC,20.0,23.0,17.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DWS,12.6,14.4,10.8,12.6,0.2,0.2,2520,12.6,12.6,12.6
DX2,6.7,7.7,5.7,0.0,0.0,0.0,0,0.0,0.0,0.0
DXD,12.0,13.8,10.2,11.4,0.4,3.5,40210,11.5,11.4,11.5
DXL,5.9,6.7,5.1,0.0,0.0,0.0,0,0.0,0.0,0.0
E12,10.0,14.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0
E29,19.1,21.9,16.3,18.4,0.2,11.0,200260,18.5,17.9,18.2
EAD,21.6,24.8,18.4,0.0,0.0,0.0,0,0.0,0.0,0.0
EFI,3.4,3.9,2.9,3.4,0.1,4.2,13710,3.6,3.0,3.3
EIC,20.7,23.8,17.6,23.6,2.5,42.3,996070,23.8,21.0,23.5
EIN,14.0,16.1,11.9,14.5,0.1,35.2,483590,14.7,13.3,13.7
EME,31.3,35.9,26.7,0.0,0.0,0.0,0,0.0,0.0,0.0
EMG,14.0,19.6,8.4,0.0,0.0,0.0,0,0.0,0.0,0.0
EMS,36.0,41.4,30.6,37.0,0.1,0.5,18100,37.0,36.0,36.2
EPC,8.6,9.8,7.4,0.0,0.0,0.0,0,0.0,0.0,0.0
EPH,11.0,12.6,9.4,0.0,0.0,0.0,0,0.0,0.0,0.0
FBA,0.9,1.0,0.8,0.0,0.0,0.0,0,0.0,0.0,0.0
FBC,7.3,10.2,4.4,0.0,0.0,0.0,0,0.0,0.0,0.0
FCC,11.0,12.6,9.4,0.0,0.0,0.0,0,0.0,0.0,0.0
FCS,4.8,6.7,2.9,0.0,0.0,0.0,0,0.0,0.0,0.0
FDG,2.0,2.3,1.7,1.9,0.1,416.4,773510,2.1,1.8,1.9
FGL,12.5,14.3,10.7,0.0,0.0,0.0,0,0.0,0.0,0.0
FHN,13.0,14.9,11.1,0.0,0.0,0.0,0,0.0,0.0,0.0
FHS,28.6,32.8,24.4,0.0,0.0,0.0,0,0.0,0.0,0.0
FIC,35.6,40.9,30.3,35.4,0.1,4.6,154700,35.5,32.2,33.6
FOC,123.0,141.4,104.6,124.9,0.2,1.4,172920,124.9,122.7,123.5
FOX,69.1,79.4,58.8,69.5,0.1,4.4,308690,72.5,69.3,70.2
FRC,36.0,41.4,30.6,0.0,0.0,0.0,0,0.0,0.0,0.0
FRM,19.0,21.8,16.2,0.0,0.0,0.0,0,0.0,0.0,0.0
FSO,11.5,16.1,6.9,0.0,0.0,0.0,0,0.0,0.0,0.0
FT1,37.5,43.1,31.9,37.5,0.4,7.2,270000,37.5,37.5,37.5
FTI,3.5,4.9,2.1,0.0,0.0,0.0,0,0.0,0.0,0.0
G20,2.0,2.3,1.7,2.0,4.5,108.0,212730,2.1,1.9,2.0
G36,17.6,20.2,15.0,18.9,0.2,1626.3,31295890,19.9,18.5,19.2
GCB,19.0,21.8,16.2,0.0,0.0,0.0,0,0.0,0.0,0.0
GE2,32.0,36.8,27.2,32.0,0.2,0.6,19200,32.0,32.0,32.0
GER,21.7,24.9,18.5,0.0,0.0,0.0,0,0.0,0.0,0.0
GGG,4.5,5.1,3.9,4.4,5.0,29.2,130250,4.5,4.4,4.5
GH3,9.6,13.4,5.8,0.0,0.0,0.0,0,0.0,0.0,0.0
GHC,28.8,33.1,24.5,29.9,1.3,7.9,234440,30.0,28.9,29.7
GLC,10.0,14.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GLW,3.8,5.3,2.3,0.0,0.0,0.0,0,0.0,0.0,0.0
GND,33.9,38.9,28.9,31.4,0.5,3.2,100850,32.5,31.4,31.5
GQN,10.1,14.1,6.1,0.0,0.0,0.0,0,0.0,0.0,0.0
GSM,11.2,12.8,9.6,12.8,0.4,1.4,17920,12.8,12.8,12.8
GTD,15.6,17.9,13.3,0.0,0.0,0.0,0,0.0,0.0,0.0
GTH,7.2,8.2,6.2,7.2,0.1,0.4,2710,7.2,6.4,6.8
GTK,12.0,16.8,7.2,0.0,0.0,0.0,0,0.0,0.0,0.0
GTS,14.0,16.1,11.9,12.6,0.1,0.1,1260,12.6,12.6,12.6
GTT,1.8,2.0,1.6,1.9,10.0,2183.0,4161490,2.0,1.7,1.9
GVT,134.0,154.1,113.9,136.0,0.1,0.3,40800,136.0,136.0,136.0
H11,8.5,9.7,7.3,9.7,0.1,8.4,65690,9.7,7.3,7.8
HAB,75.2,105.2,45.2,0.0,0.0,0.0,0,0.0,0.0,0.0
HAC,12.6,14.4,10.8,12.7,0.5,24.5,313470,13.0,12.7,12.8
HAF,19.4,22.3,16.5,20.5,0.2,0.4,8170,21.9,18.8,20.4
HAM,26.0,29.9,22.1,0.0,0.0,0.0,0,0.0,0.0,0.0
HAN,12.3,14.1,10.5,13.7,0.2,2.5,32930,13.7,12.9,13.2
HAV,6.9,7.9,5.9,6.9,0.1,1.3,8970,6.9,6.9,6.9
HAW,10.0,14.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0
HBD,17.2,19.7,14.7,0.0,0.0,0.0,0,0.0,0.0,0.0
HBH,9.0,10.3,7.7,8.5,0.4,2.9,24650,8.5,8.5,8.5
HC1,19.0,21.8,16.2,0.0,0.0,0.0,0,0.0,0.0,0.0
HC3,34.5,39.6,29.4,35.0,0.4,2.5,86500,35.0,34.5,34.6
HCB,19.4,22.3,16.5,0.0,0.0,0.0,0,0.0,0.0,0.0
HCI,57.7,80.7,34.7,0.0,0.0,0.0,0,0.0,0.0,0.0
HD2,12.3,14.1,10.5,11.7,0.8,23.5,277320,12.3,11.5,11.8
HD6,33.3,38.2,28.4,38.2,0.2,232.4,8836690,38.2,35.0,38.0
